tag	treeid	stemtag	spcode	quadrat	gx	gy	dbh	codes	hom	date
4498	49	1	red maple	A	69.7	110	10.5	M	1.3	2014-06-11
12030	27217	1	red maple	A	70.2	106.5	2.8	M	1.3	2014-06-11
12029	27218	1	red maple	A	71	105	2.7	M	1.3	2014-06-11
12028	27219	1	red maple	A	71.1	105.8	1	M	1.3	2014-06-11
4497	51	1	red maple	A	71.3	109.8	4.8	M	1.3	2014-06-11
12027	27220	1	red maple	A	72	108.7	2.2	M	1.3	2014-06-11
4495	52	1	red maple	A	72.2	106.2	8.3	M	1.3	2014-06-11
4494	53	1	red maple	A	72.8	108.2	5.4	M	1.3	2014-06-11
4493	55	1	red maple	A	74.2	109.1	8	M	1.3	2014-06-11
4491	56	1	red maple	A	74.6	107.5	4.2	M	1.3	2014-06-11
4490	57	1	red maple	A	74.9	109.3	9.2	M	1.3	2014-06-11
4489	58	1	red maple	A	75	107.7	3.5	M	1.3	2014-06-11
4488	59	1	white oak	A	75.8	105.4	36.4	M	1.3	2014-06-11
4485	60	1	black cherry	A	76.5	105.7	NA	S;D	1.3	2014-06-11
4487	61	1	red maple	A	76.7	107.5	8.9	M	1.3	2014-06-11
12026	27221	1	serviceberry	A	77.7	107	2.5	M	1.3	2014-06-11
4486	62	1	black oak	A	77.7	106.4	36.8	M	1.3	2014-06-11
12026	27221	2	serviceberry	A	77.7	107	2.2		1.3	2014-06-11
4483	63	1	red maple	A	80.2	107.5	12.5	M	1.3	2014-06-11
4484	64	1	serviceberry	A	80.5	105.8	4.1	M	1.3	2014-06-11
12025	27222	1	red maple	A	80.7	109.6	2.1	M	1.3	2014-06-11
4481	65	1	black cherry	A	82.2	106.2	NA	S;D	1.3	2014-06-11
4482	66	1	red maple	A	82.3	108.6	4	M	1.3	2014-06-11
4480	67	1	serviceberry	A	82.7	105.4	5.7	M	1.3	2014-06-11
12024	27223	1	serviceberry	A	83.1	107	2	M	1.3	2014-06-11
4478	68	1	red maple	A	83.3	108.6	12.4	M	1.3	2014-06-11
4477	69	1	black cherry	A	83.8	109.7	NA	S;D	1.3	2014-06-11
4479	70	1	black cherry	A	83.9	107.5	NA	S;D	1.3	2014-06-11
12023	27224	1	serviceberry	A	84.3	108.8	2.9	M	1.3	2014-06-11
4476	71	1	black cherry	A	85.2	106	NA	S;D	1.3	2014-06-11
4475	72	1	serviceberry	A	85.5	108.8	5.9	M	1.3	2014-06-11
4473	73	1	black cherry	A	87	105.4	NA	S;D	1.3	2014-06-11
4474	74	1	serviceberry	A	87	109.1	8	M	1.3	2014-06-11
4472	75	1	red maple	A	87.3	105.6	7.3	M	1.3	2014-06-11
4471	76	1	black cherry	A	92	107.3	NA	S;D	1.3	2014-06-11
4470	77	1	white oak	A	93.2	106.4	27.2	M	1.3	2014-06-11
12022	27225	1	serviceberry	A	93.9	107.8	3	M	1.3	2014-06-11
4469	78	1	red maple	A	94.4	105.5	10.2	M	1.3	2014-06-11
12021	27226	1	black cherry	A	97	105.8	3.2	M	1.3	2014-06-11
4468	79	1	black cherry	A	97.6	105.2	5.1	M	1.3	2014-06-11
12010	27227	1	serviceberry	A	99.1	105.1	1.1	M	1.3	2014-06-11
4850	80	1	black oak	A	0.1	102.5	77	M	1.3	2014-06-11
10766	27228	1	autumn olive	A	0.6	104.6	1.7	M	1.3	2014-06-11
10766	27228	2	autumn olive	A	0.6	104.6	1.2		1.3	2014-06-11
NA	14953	1	serviceberry	A	1.2	103.8	NA	D	1.3	2014-06-11
10768	27229	1	autumn olive	A	2.1	105	1.4	M	1.3	2014-06-11
4851	81	1	pignut hickory	A	3.5	102.3	15.4	M	1.3	2014-06-11
10767	27230	1	black cherry	A	4.1	104.4	1	M	1.3	2014-06-11
4853	82	1	black cherry	A	4.3	103.5	5	M	1.3	2014-06-11
