tag	treeid	stemtag	spcode	quadrat	gx	gy	dbh	codes	hom	date
8573	1	1	white oak	A	8.7	107.5	41.2	M	1.3	2008-07-01
44	2	1	serviceberry	A	10.8	108.6	5.9	M	1.3	2008-07-01
45	3	1	black cherry	A	11.6	105.7	45.2	M	1.3	2008-07-01
12050	14951	1	black cherry	A	12	107	3.8	M	1.3	2008-07-01
42	4	1	red maple	A	12.5	108.4	4.1	M	1.3	2008-07-01
43	5	1	red maple	A	12.5	105.8	4.6	M	1.3	2008-07-01
41	6	1	red maple	A	13.3	107.4	8.3	M	1.3	2008-07-01
40	7	1	red maple	A	14.9	106.3	6.1	M	1.3	2008-07-01
39	8	1	red maple	A	15.6	109	7.7	M	1.3	2008-07-01
37	9	1	red maple	A	16.5	108.3	4	M	1.3	2008-07-01
38	10	1	red maple	A	16.5	106	5	M	1.3	2008-07-01
36	11	1	black cherry	A	17.9	107.3	17.9	M	1.3	2008-07-01
35	12	1	serviceberry	A	20.7	107.5	4	M	1.3	2008-07-01
34	13	1	red maple	A	21.3	106.4	4.8	M	1.3	2008-07-01
33	14	1	red maple	A	21.9	107.5	5.3	M	1.3	2008-07-01
32	15	1	red maple	A	22.3	108.9	7.7	M	1.3	2008-07-01
31	16	1	red maple	A	23.2	107.5	4.8	M	1.3	2008-07-01
29	17	1	red maple	A	24.2	109.6	3.9	M	1.3	2008-07-01
30	18	1	red maple	A	24.3	108	4.7	M	1.3	2008-07-01
28	19	1	red maple	A	24.8	109.4	6.3	M	1.3	2008-07-01
27	20	1	red maple	A	25.7	108.5	5.2	M	1.3	2008-07-01
26	21	1	red maple	A	26.5	108.8	8.9	M	1.3	2008-07-01
25	22	1	serviceberry	A	27.3	107.1	6.4	M	1.3	2008-07-01
24	23	1	witch hazel	A	28.7	107.5	4.2	M	1.3	2008-07-01
23	24	1	black cherry	A	29.7	105.8	13.3	M	1.3	2008-07-01
8894	25	1	black cherry	A	31.6	108.5	8.1	M	1.3	2008-07-01
21	26	1	flowering dogwood	A	33.7	105.7	7.2	M	1.3	2008-07-01
20	27	1	red maple	A	36.2	107.2	27.9	M	1.3	2008-07-01
19	28	1	black cherry	A	39.5	108.4	3.7	M	1.3	2008-07-01
18	29	1	black cherry	A	41.1	106.9	NA	S;D	1.3	2008-07-01
17	30	1	black cherry	A	42.2	105.4	4	M	1.3	2008-07-01
16	31	1	black cherry	A	43.2	107.5	5.5	M	1.3	2008-07-01
15	32	1	black cherry	A	46.2	108.9	NA	D	1.3	2008-07-01
14	33	1	serviceberry	A	46.5	106.2	5.2	M	1.3	2008-07-01
13	34	1	witch hazel	A	46.9	105.5	4.4	M	1.3	2008-07-01
12	35	1	black cherry	A	47.9	105.2	NA	D	1.3	2008-07-01
289	36	1	white oak	A	48.2	109	35	M	1.3	2008-07-01
10	37	1	witch hazel	A	49.8	108.5	3.9	M	1.3	2008-07-01
9	38	1	flowering dogwood	A	51.2	105.4	5.6	M	1.3	2008-07-01
8	39	1	black cherry	A	52.7	105.3	8.3	M	1.3	2008-07-01
300	14952	1	flowering dogwood	A	54.3	107.1	3.3	M	1.3	2008-07-01
